title,link,author,journal,website,abstract,referenced
"Achieving high curie temperature in (ga, mn) as",https://aip.scitation.org/doi/abs/10.1063/1.2992200,"M Wang, RP Campion, AW Rushforth…","Applied Physics …, 2008",aip.scitation.org,"… temperature, Ga:As ratio, and postgrowth annealing procedure on the Curie temperature
T … We achieve the highest T C values for growth temperatures very close to the two-dimensional…",258
Pressure effect on the Curie temperatures of transition metals and alloys,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.6.4250,"JM Leger, C Loriers","Susse, B Vodar","Physical Review B, 1972","… a parabolic decrease of the Curie temperature with pressure: 8 =8p (1 … a study of the effect
of pressure on the Curie temperature, … is reflected in the pressure shift of the Curie temperature …",213
Curie temperatures of III–V diluted magnetic semiconductors calculated from first principles,https://iopscience.iop.org/article/10.1209/epl/i2003-00191-8/meta,"K Sato, PH Dederics…","EPL (Europhysics …, 2003",iopscience.iop.org,"… However, when comparing with experiment one has to remember that the meanfield
approximation usually somewhat overestimates the Curie temperature of ferromagnets, which is in …",366
Atomic displacement relationship to Curie temperature and spontaneous polarization in displacive ferroelectrics,https://journals.aps.org/pr/abstract/10.1103/PhysRev.172.551,"SC Abrahams, SK Kurtz, PB Jamieson","Physical Review, 1968",APS,"… z of certain atoms from their higher-temperature symmetry positions. A study of all displacive
… relationship exists between Δ z and the Curie temperature T C. This relation has been form …",640
"High-Curie-temperature
obtained by resistance-monitored annealing",https://aip.scitation.org/doi/abs/10.1063/1.1529079,"KW Edmonds, KY Wang, RP Campion…","Applied Physics …, 2002",aip.scitation.org,"… of room temperature … , Curie temperatures significantly in excess of 110 K can be obtained.
In contrast to the earlier studies, much longer annealing times and lower temperatures are …",447
Thickness-dependent Curie temperature of Gd (0001)/W (110) and its dependence on the growth conditions,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.47.11571,"M Farle, K Baberschke, U Stetter, A Aspelmeier…","Physical Review B, 1993",APS,"… of temperature are measured. The shape of the y„signal and the Curie temperature is strongly
… on the growth mode and on the annealing procedure after deposition at room temperature. …",267
"Highly enhanced Curie temperature in low-temperature annealed [Ga, Mn] As epilayers",https://aip.scitation.org/doi/abs/10.1063/1.1564285,"KC Ku, SJ Potashnik, RF Wang, SH Chun…","Applied Physics …, 2003",aip.scitation.org,"… We report Curie temperatures up to 150 K in annealed … suggest that the higher Curie
temperature results from an … limits the maximum attainable Curie temperature in this material, …",456
High‐performance lead‐free piezoceramics with high curie temperatures,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201502424,"MH Lee, DJ Kim, JS Park, SW Kim, TK Song…","Advanced …, 2015",Wiley Online Library,"A bismuth ferrite and barium titanate solid solution compound can achieve good piezoelectric
properties with a high Curie temperature when fabricated with low-temperature sintering …",373
Dynamic approach for micromagnetics close to the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.74.094436,O Chubykalo,"Fesenko, U Nowak, RW Chantrell…","Physical Review B, 2006","… This work demonstrates that, although the macrospin model works well for temperatures
far below the Curie temperature Tc, longitudinal fluctuations of the magnetization become …",206
The Curie temperature of ultra-thin ferroelectric films,https://iopscience.iop.org/article/10.1088/0953-8984/4/19/014/meta,"CL Wang, WL Zhong, PL Zhang","Journal of Physics: Condensed …, 1992",iopscience.iop.org,"… number dependence of the Curie temperature were obtained. There is a … Curie temperature;
then the surface interaction strength is weaker than the critical value, the Curie temperature …",162
"Preparation of ferromagnetic (In,Mn)As with a high Curie temperature of",https://aip.scitation.org/doi/abs/10.1063/1.2236210,"T Schallenberg, H Munekata","Applied physics letters, 2006",aip.scitation.org,"The authors found high Curie temperatures of up to 90K in annealed (In,Mn)As epilayers …
with low-temperature annealing after growth. The highest Curie temperature was obtained in …",106
Exchange interactions and Curie temperatures of Mn2CoZ compounds,https://iopscience.iop.org/article/10.1088/0953-8984/23/11/116005/meta,"M Meinert, JM Schmalhorst…","Journal of Physics …, 2011",iopscience.iop.org,"… Due to the direct Mn–Mn exchange interaction in Mn2CoZ, the Curie temperature … of the
Curie temperature, which follows from the decreasing magnetic moments. Curie temperatures of …",93
Nuclear magnetic relaxation near the Curie temperature,https://academic.oup.com/ptp/article-abstract/28/2/371/1846555,T Moriya,"Progress of Theoretical Physics, 1962",academic.oup.com,"A theoretical study is made on the nuclear spin relaxation in magnetic crystals near their
Curie temperatures. The exchange narrowed hyperfine broadening of the NMR line width is …",318
The Curie Temperature of LiNbO3,https://onlinelibrary.wiley.com/doi/abs/10.1002/pssb.19660130202,"GA Smolenskii, NN Krainik, NP Khuchua…","… status solidi (b), 1966",Wiley Online Library,"… l) The term “Curie temperature” used in this work does not mean that the phase transition to
the paraelectric state is of the second type. The Curie temperature of polycrjstalline LiTaO, is …",67
Recent developments on high Curie temperature PIN–PMN–PT ferroelectric crystals,https://www.sciencedirect.com/science/article/pii/S0022024810010237,"S Zhang, F Li, NP Sherlock, J Luo, HJ Lee, R Xia…","Journal of crystal …, 2011",Elsevier,"… Curie temperature was found to shift to lower temperatures when the dc bias was lower than
a specific threshold field, above which, the Curie temperature … transition temperatures were …",85
Screening and design of novel 2D ferromagnetic materials with high Curie temperature above room temperature,https://pubs.acs.org/doi/abs/10.1021/acsami.8b14037,"Z Jiang, P Wang, J Xing, X Jiang…","ACS applied materials & …, 2018",ACS Publications,"… We evaluated the Curie temperature of these 2D ferromagnets by both mean-field theory (MFT)
(35) and Monte Carlo (MC) simulations based on the Ising model. Here, we consider …",112
Curie temperature of BaTiO3,https://iopscience.iop.org/article/10.1143/JJAP.34.5443/meta,"K Sakayori, Y Matsui, H Abe, E Nakamura…","Japanese journal of …, 1995",iopscience.iop.org,"… The Curie point (TC) of BaTiO 3 was earlier reported to be 120 C and has been recently
believed to be 130 C. … In conclusion, the Curie point of BaTiO 3 is determined as 123.0±0.6 C. …",81
MBene (MnB): a new type of 2D metallic ferromagnet with high Curie temperature,https://pubs.rsc.org/en/content/articlehtml/2018/nh/c7nh00197e,"Z Jiang, P Wang, X Jiang, J Zhao","Nanoscale horizons, 2018",pubs.rsc.org,"… The Curie temperature is increased to 405 and 600 K, … metallic ferromagnetism and high
Curie temperature, making it a … well preserved and the Curie temperature is even increased by …",140
Determination of Curie temperature by Arrott plot technique in Gd5 (SixGe1− x) 4 for x> 0.575,https://www.sciencedirect.com/science/article/pii/S0304885308004721,"RL Hadimani, Y Melikhov, JE Snyder…","Journal of Magnetism and …, 2008",Elsevier,"… of Curie temperature. Using the Arrott plot the second-order transition Curie temperature for
… If we try to identify Curie temperature from the measurements made under higher magnetic …",54
"Slater-Pauling rule and Curie temperature of
-based Heusler compounds",https://aip.scitation.org/doi/abs/10.1063/1.2167629,"GH Fecher, HC Kandpal, S Wurmehl…","Journal of applied …, 2006",aip.scitation.org,"… Furthermore, it was found empirically that the Curie temperature of Co 2 -based Heusler …
magnetic moment and the highest Curie temperature measured for a Heusler compound. …",223
Specific heat of nickel near the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.3.924,"DL Connelly, JS Loomis, DE Mapother","Physical Review B, 1971",APS,"… of the temperature dependence of the specific heat Cz, (T) for Ni near its Curie point (Tc …
variation of lock-in amplifier signal with temperature near the Curie point of Ni. Thissection of the …",169
First-principles calculation of the Curie temperature Slater–Pauling curve,https://iopscience.iop.org/article/10.1088/0953-8984/19/36/365233/meta,"C Takahashi, M Ogura, H Akai","Journal of Physics: Condensed …, 2007",iopscience.iop.org,"… – Pauling curve for the Curie temperature resembles that of the magnetization, … Curie
temperatures behave differently depending on the system. This fact implies that Curie temperatures …",51
"Electronic structure, exchange interactions, and Curie temperature of FeCo",https://aip.scitation.org/doi/abs/10.1063/1.370036,"JM MacLaren, TC Schulthess, WH Butler…","Journal of applied …, 1999",aip.scitation.org,"… predicted a similar value for the Curie temperature (1280 K), which is also too high. … Curie
temperature obtained from this work is about 1100 K. While the value of the Curie temperature …",191
Curie temperature of multiphase nanostructures,https://aip.scitation.org/doi/abs/10.1063/1.373149,"R Skomski, DJ Sellmyer","Journal of Applied Physics, 2000",aip.scitation.org,"… The Curie temperature and the local spontaneous magnetization of ferromagnetic … Curie
temperature, independent of the number of magnetic phases present. The Curie temperature …",60
Curie-temperature depth estimation using a self-similar magnetization model,https://academic.oup.com/gji/article-abstract/129/1/163/587964,"S Maus, D Gordon, D Fairhead","Geophysical Journal …, 1997",academic.oup.com,"… The Earth's crust is magnetized down to the Curie-temperature depth at about 10 to 50 km.
This … Asia for a self-similarity parameter of p = 4 and Curie temperature depths of 15 to 20 km. …",168
"Understanding the trend in the Curie temperatures of
-based Heusler compounds: Ab initio calculations",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.76.024414,"J Kübler, GH Fecher, C Felser","Physical Review B, 2007",APS,"… We begin by showing the calculated Curie temperatures plotted versus the measured values
in Fig. 1. This figure is a strong indication that the spherical approximation applied here is …",291
Curie temperature of emerging two-dimensional magnetic structures,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.100.205409,"X Lu, R Fei, L Yang","Physical Review B, 2019",APS,"… In this work, we have calculated the Curie temperature Tc of the widely studied monolayer
… It also sheds light on searching for novel 2D materials with higher Curie temperatures by …",42
Predicting the Curie temperature of ferromagnets using machine learning,https://journals.aps.org/prmaterials/abstract/10.1103/PhysRevMaterials.3.104405,"J Nelson, S Sanvito","Physical Review Materials, 2019",APS,"… temperature. Here we introduce a range of machine-learning models to predict the Curie
temperature TC of … the chemical composition and the critical temperature. We show that the best …",47
On the Curie temperature of poly (vinylidene fluoride),https://pubs.acs.org/doi/pdf/10.1021/ma00159a036,"AJ Lovinger, DD Davis, RE Cais, JM Kometani","Macromolecules, 1986",ACS Publications,"… In an attempt to provide a new, independent approach toward establishment of the Curie
temperature of PVF2, we report here our results from a study of such transitions in VF2 …",97
Ab initio estimates of the Curie temperature for magnetic compounds,https://iopscience.iop.org/article/10.1088/0953-8984/18/43/003/meta,J Kübler,"Journal of Physics: Condensed Matter, 2006",iopscience.iop.org,"… This is followed by a derivation and discussion of a simple expression for the Curie
temperature—or the Néel temperature, respectively—of metallic compounds in the spherical …",85
High-Curie-temperature ferromagnetism in self-organized Ge1− xMnx nanocolumns,https://www.nature.com/articles/nmat1686,"M Jamet, A Barski, T Devillers, V Poydenot…","Nature materials, 2006",nature.com,"… For growth temperatures below 100 ∘ C, nanocolumns exhibit another structure and a very
low Curie temperature, whereas for growth temperatures above 200 ∘ C additional spots …",437
T‐S diagram for gadolinium near the Curie temperature,https://aip.scitation.org/doi/abs/10.1063/1.329633,"SM Benford, GV Brown","Journal of Applied Physics, 1981",aip.scitation.org,"… temperatures from 190 to 370 K in applied fields from 1 to 7 T. The magnetocaloric
temperature … a T‐S diagram for Gd near the Curie point. Experimental values of ΔT were also …",185
Giant magnetocaloric effect in isostructural MnNiGe-CoNiGe system by establishing a Curie-temperature window,https://aip.scitation.org/doi/abs/10.1063/1.4798318,"EK Liu, HG Zhang, GZ Xu, XM Zhang, RS Ma…","Applied Physics …, 2013",aip.scitation.org,"… -transition temperature and converting antiferromagnetic martensite to ferromagnetic state,
a 200 K Curie-temperature window was established between Curie temperatures of austenite …",120
Dielectric properties of Bi4Ti3O12 below the Curie temperature,https://iopscience.iop.org/article/10.1143/JJAP.20.877/meta,"S Ehara, K Muramatsu, M Shimazu…","Japanese Journal of …, 1981",iopscience.iop.org,"… The dielectric permittivity, optical transmission spectrum and temperature dependence of …
It is found that the dielectric anomalies previously reported below the Curie temperature are …",70
High Curie temperature and nano-scale spinodal decomposition phase in dilute magnetic semiconductors,https://iopscience.iop.org/article/10.1143/JJAP.44.L948/meta,"K Sato, H Katayama",Yoshida…,"Japanese Journal of …, 2005","… Finally, we discuss the Curie temperatures of the thus generated spinodal decomposition …
This suggestion also opens a way to control the Curie temperatures of DMS by changing …",266
Electrical control of Curie temperature in cobalt using an ionic liquid film,https://aip.scitation.org/doi/abs/10.1063/1.3695160,"K Shimamura, D Chiba, S Ono, S Fukami…","Applied Physics …, 2012",aip.scitation.org,"… magnetization properties and Curie temperature of Co ultra-… The change in the Curie
temperature is ∼100 K by applying … significant change in the Curie temperature, which is induced …",159
Effect of pressure on the Curie temperature of titanomagnetites [(1− x)· Fe3O4− x· TiFe2O4],https://www.sciencedirect.com/science/article/pii/0012821X70900671,A Schult,"Earth and Planetary Science Letters, 1970",Elsevier,"… The Curie temperatures of the synthetic tltanomagnetites were measured In a ""belt"" high …
to the Initial susceptibility of the sample, was measured as a function of temperature at different …",81
Recent developments in high Curie temperature perovskite single crystals,https://ieeexplore.ieee.org/abstract/document/1428037/,"S Zhang, CA Randall, TR Shrout","ieee transactions on …, 2005",ieeexplore.ieee.org,"… tetragonal phase transformation temperature - which occurs at the significantly lower
temperatures than the Curie temperature T/sub c/. Attempts to modify the temperature usage range …",60
Electronic structure of metallic ferromagnets above the Curie temperature,https://iopscience.iop.org/article/10.1088/0305-4608/15/6/019/meta,"J Staunton, BL Gyorffy, AJ Pindor…","Journal of Physics F …, 1985",iopscience.iop.org,"… We describe the electronic structure of Fe and Ni above their Curie temperatures in their
disordered local moment (DLM) states as a function of wavevector k and energy E . In particular, …",132
A universal framework for metropolis Monte Carlo simulation of magnetic Curie temperature,https://www.sciencedirect.com/science/article/pii/S0927025621003657,"Y Zhang, B Wang, Y Guo, Q Li, J Wang","Computational Materials Science, 2021",Elsevier,"… ferromagnetic material of CrI 3 , the simulated Curie temperature is about 42 K, which is in
… greatly improve the efficiency of Curie temperature simulations based on ab initio methods. …",8
Anneal‐tunable Curie temperature and transport of La0.67Ca0.33MnO3,https://aip.scitation.org/doi/abs/10.1063/1.363498,"DC Worledge, GJ Snyder, MR Beasley…","Journal of applied …, 1996",aip.scitation.org,"… argon anneals at successively higher temperatures. Tc, the ferromagnetic ordering temperature,
increases uniformly with increasing annealing temperature and annealing time. Hence, …",218
Magnetic and transport characteristics on high Curie temperature ferromagnet of Mn-doped GaN,https://aip.scitation.org/doi/abs/10.1063/1.1451879,"T Sasaki, S Sonoda, Y Yamamoto, K Suga…","Journal of Applied …, 2002",aip.scitation.org,"… DMS having Curie temperature exceeding room temperature.In a recent work, Sonoda et
al.reported that ferromagnetic like Mn-doped GaN film has the Curie temperature much higher …",260
Curie temperature of ultrathin films of fcc-cobalt epitaxially grown on atomically flat Cu (100) surfaces,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.64.1059,"CM Schneider, P Bressler, P Schuster, J Kirschner…","Physical review …, 1990",APS,"… , we find a significant reduction of the Curie temperature … the experimental uncertainty the
Curie temperature of this film … thickness dependence of the Curie temperature. In particular, …",580
Oscillatory Curie temperature of two-dimensional ferromagnets,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.85.5424,"M Pajda, J Kudrnovský, I Turek, V Drchal, P Bruno","Physical Review Letters, 2000",APS,"… spin-wave stiffness constants, and overlayer Curie temperatures within the mean-field and
random-phase approximations. Overlayer Curie temperature oscillates as a function of the cap…",135
On the Curie points and high temperature susceptibilities of Heisenberg model ferromagnetics,https://www.tandfonline.com/doi/abs/10.1080/00268975800100321,"GS Rushbrooke, PJ Wood","Molecular Physics, 1958",Taylor & Francis,"… have been made of the reduced Curie temperatures, θs c = k … the estimated Curie temperatures
fairly accurately. Here X=S(… susceptibility against temperature above the Curie point are …",798
The pressure effect on the Curie temperature and exchange striction of Cr2S3 and Cr2Te3,https://www.sciencedirect.com/science/article/abs/pii/0304885387904161,"M Yuzuri, T Kanomata, T Kaneko","Journal of Magnetism and Magnetic …, 1987",Elsevier,"… the Curie temperature was measured at pressures up to 6 kbar. The determination of the
Curie temperature was made by measuring the temperature … The Curie temperature increases …",46
"Enhancing the Curie temperature of ferromagnetic semiconductor (Ga, Mn) As to 200 K via nanostructure engineering",https://pubs.acs.org/doi/abs/10.1021/nl201187m,"L Chen, X Yang, F Yang, J Zhao, J Misuraca…","Nano …, 2011",ACS Publications,"… -transport measurements that a Curie temperature as high as 200 … then subject to low-temperature
annealing. Resistance and Hall … devices operational at relatively high temperatures. …",317
Magnetic properties of N-doped graphene with high Curie temperature,https://www.nature.com/articles/srep21832,"Q Miao, L Wang, Z Liu, B Wei, F Xu, W Fei","Scientific reports, 2016",nature.com,"… In the case of Curie temperature, although it is not clear why there is such strong … to high
Curie temperatures, we could speculate and discuss the influence factors of Curie temperature …",83
Quantum anomalous Hall edge channels survive up to the Curie temperature,https://www.nature.com/articles/s41467-021-25912-w,"KM Fijalkowski, N Liu, P Mandal, S Schreyeck…","Nature …, 2021",nature.com,"… far remains limited to temperatures of the order of 20 mK, while the Curie temperature in the
… applied magnetic field up to the Curie temperature of bulk ferromagnetism of the magnetic …",15
Thickness-dependent Curie temperatures of ultrathin magnetic films: effect of the range of spin-spin interactions,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.86.2665,"R Zhang, RF Willis","Physical review letters, 2001",APS,"… In summary, we have analyzed data for the thickness dependence of the Curie temperature
of thin ferromagnetic Ni and Gd films in terms of a simple model, predicting a crossover from …",288
Curie temperature isotherm analysis and tectonic implications of aeromagnetic data from Nevada,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/jb093ib10p11817,RJ Blakely,"Journal of Geophysical Research: Solid Earth, 1988",Wiley Online Library,"… Estimates of the depth to the Curie temperature isotherm in … to undulations in the Curie
temperature isotherm. For example… shallow depth to the Curie temperature isotherm in this region. …",275
Crystal structure transitions in antiferromagnetic compounds at the Curie temperature,https://journals.aps.org/pr/abstract/10.1103/PhysRev.82.113,"JS Smart, S Greenwald","Physical Review, 1951",APS,"… that at the Curie temperature the crystal … Curie temperature. Rooksby and Tombss have
reported that MnS undergoes a transition to rhombohedral symmetry near its Curie temperature, …",111
Effects of A-site (NaCe) substitution with Na-deficiency on structures and properties of CaBi4Ti4O15-based high-Curie-temperature ceramics,https://iopscience.iop.org/article/10.1143/JJAP.40.6501/meta,"H Yan, C Li, J Zhou, W Zhu, L He…","Japanese Journal of …, 2001",iopscience.iop.org,"… d33 and hightemperature resistivity with decreasing Curie temperature. The modification by
… d33 and high-temperature resistivity but also increases the Curie temperature. The reason …",89
Calculating the Curie temperature reliably in diluted III-V ferromagnetic semiconductors,https://iopscience.iop.org/article/10.1209/epl/i2004-10473-1/meta,"G Bouzerar, T Ziman, J Kudrnovský","EPL (Europhysics Letters), 2005",iopscience.iop.org,"… We present a semi-analytic theory for the Curie temperature in … We predict that critical
temperatures for strongly ptype … experimental values of the critical temperature of different groups …",130
Investigation of the high Curie temperature in,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.71.092408,"JM De Teresa, D Serrate, C Ritter, J Blasco, MR Ibarra…","Physical Review B, 2005",APS,"… , the temperature for the cubic-tetragonal transition decreases (Tt 490 K for x=0 and 260
K for x=1) and the cell volume shrinks more than 2% while the Curie temperature increases …",59
Record Enhancement of Curie Temperature in Host–Guest Inclusion Ferroelectrics,https://pubs.acs.org/doi/abs/10.1021/jacs.1c00613,"XJ Song, T Zhang, ZX Gu, ZX Zhang…","Journal of the …, 2021",ACS Publications,"… However, they usually have a low Curie temperature (T c ) … designed a high-temperature
multiaxial host–guest inclusion … crystal symmetry at room temperature and a higher energy …",38
Local spin excitations and Curie temperature of iron,https://www.sciencedirect.com/science/article/abs/pii/0038109885900079,"AI Liechtenstein, MI Katsnelson, VA Gubanov","Solid state communications, 1985",Elsevier,"… The expression for the Curie temperature of ferromagnetic … be strongly desirable, Such
calculations of Curie temperatue … Then the Curie temperature as calculated from equation (6) …",88
"Ab initio calculations of exchange interactions, spin-wave stiffness constants, and Curie temperatures of Fe, Co, and Ni",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.64.174402,"M Pajda, J Kudrnovský, I Turek, V Drchal, P Bruno","Physical Review B, 2001",APS,"… Curie temperature, we apply statistical mechanics to the effective Hamiltonian 1. In the present
paper, we use two different approaches to compute the Curie temperature. … temperatures …",569
New diluted ferromagnetic semiconductor with Curie temperature up to 180 K and isostructural to the '122'iron-based superconductors,https://www.nature.com/articles/ncomms2447,"K Zhao, Z Deng, XC Wang, W Han, JL Zhu, X Li…","Nature …, 2013",nature.com,"… LiZnAs, showing a Curie temperature up to T C =50 K. In this … is a semiconductor synthetized
at high temperature (>900 C) … pnictide superconductors with transition temperature up to 38 …",177
A modular approach to ferroelectric polymers with chemically tunable curie temperatures and dielectric constants,https://pubs.acs.org/doi/abs/10.1021/ja062306x,"Y Lu, J Claude, B Neese, Q Zhang…","Journal of the American …, 2006",ACS Publications,"… dielectric anomaly near the Curie temperature, a phase … the Curie transition close to the
application temperatures for a … transition below the melting temperature of the polymer crystals. …",208
"Pressure dependence of the Curie temperature in
Heusler alloy: A first-principles study",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.71.214412,"E Şaşıoğlu, LM Sandratskii, P Bruno","Physical Review B, 2005",APS,"… In agrement with experiment the Curie temperature increased … dependence of the Curie
temperature and metamagnetic … is simulated to study its influence on the Curie temperature. …",147
Thick lead-free ferroelectric films with high Curie temperatures through nanocomposite-induced strain,https://www.nature.com/articles/nnano.2011.98,"SA Harrington, J Zhai, S Denev, V Gopalan…","Nature …, 2011",nature.com,"… used to enhance the Curie temperature of BaTiO 3 (… Curie temperature of micrometre-thick
films of BaTiO 3 to at least 330 C, and the tetragonal-to-cubic structural transition temperature …",245
Influence of Zr dopant on the dielectric properties and Curie temperatures of Ba (ZrxTi1− x) O3 (0≤ x≤ 0.12) ceramics,https://www.sciencedirect.com/science/article/abs/pii/S135964620900178X,"SJ Kuang, XG Tang, LY Li, YP Jiang, QX Liu","Scripta Materialia, 2009",Elsevier,"Ba(Zr x Ti 1− x )O 3 (BZT, 0 ≤ x ≤ 0.12, step = 0.02) ceramics have been prepared by the
solid solution reaction method. The Curie temperature decreased nonlinearly from 131 to 74 C …",157
"CURIE TEMPERATURE, BIREFRINGENCE, AND PHASE‐MATCHING TEMPERATURE VARIATIONS IN LiNbO3 AS A FUNCTION OF MELT STOICHIOMETRY",https://aip.scitation.org/doi/abs/10.1063/1.1651912,"JG Bergman, A Ashkin, AA Ballman…","Applied Physics …, 1968",aip.scitation.org,"… The Curie temperature was found to vary from a … of Curie temperature with melt stoichiometry.
Our results agree well with those of Smolenski both in the case of the Curie temperature …",269
Exponential approach to estimate the Curie-temperature depth,https://academic.oup.com/jge/article-abstract/7/2/113/5077933,"I Aydın, E Oksum","Journal of Geophysics and Engineering, 2010",academic.oup.com,"… is a classical routine in the estimation of the Curie-temperature depth. Many applications of
this … In this study, a different approach for the estimation of the Curie-temperature depth from …",37
"Curie temperature trends in (III, Mn) V ferromagnetic semiconductors",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.66.012402,"T Jungwirth, J König, J Sinova, J Kučera…","Physical review B, 2002",APS,"… We present a theoretical survey of ferromagnetic transition temperatures in … We show that
high critical temperatures in these … with high critical temperatures observed experimentally in III,…",187
"Effect of pressure on Curie temperature of calcogenide spinels CuCr2X4 (X= S, Se and Te)",https://www.jstage.jst.go.jp/article/jpsj1946/29/2/29_2_332/_article/-char/ja/,"T Kanomata, H Ido, T Kaneko","Journal of the Physical Society of …, 1970",jstage.jst.go.jp,"… Curie temperatures in the same table were determined from the linear relation between 03
and T just below the Curie temperatures. … “ On the other hand, the temperature dependence of …",78
Linear and elliptical magnetization reversal close to the Curie temperature,https://iopscience.iop.org/article/10.1209/0295-5075/86/27006/meta,"N Kazantseva, D Hinzke, RW Chantrell…","EPL (Europhysics …, 2009",iopscience.iop.org,"… temperatures close to (but still below) the Curie temperature … close to the Curie temperature,
we calculate the temperature … assisted switching below and above the Curie temperature. …",76
"Effect of hydrostatic pressure on the Curie temperature of the Heusler alloys Ni2MnZ (Z= Al, Ga, In, Sn and Sb)",https://www.sciencedirect.com/science/article/abs/pii/030488538790312X,"T Kanomata, K Shirakawa, T Kaneko","Journal of magnetism and magnetic …, 1987",Elsevier,"… the Curie-Weiss law with the paramagnetic Curie temperature … Curie temperature is usually
higher than the Curie tem… Curie temperature is lower than the Curie temperature. The occur…",174
On the Curie temperature dependency of the magnetocaloric effect,https://aip.scitation.org/doi/abs/10.1063/1.4726110,"JH Belo, JS Amaral, AM Pereira, VS Amaral…","Applied Physics …, 2012",aip.scitation.org,"We investigate the magnetocaloric effect dependency on the most important microscopic
parameters of ferromagnetic materials, such as the Curie temperature (TC), the spin value (J), …",68
New quaternary half-metallic ferromagnets with large Curie temperatures,https://www.nature.com/articles/s41598-017-01782-5,"A Kundu, S Ghosh, R Banerjee, S Ghosh, B Sanyal","Scientific reports, 2017",nature.com,"… In both series we find that the maximum Curie temperature is achieved for compounds
with N ν = 29, and in general high values of Curie temperatures are obtained if the number of …",122
